eia_id,state,area_m2,plant_year,longitude,latitude,open water,"developed, open space","developed, low intensity","developed, medium intensity","developed, high intensity",barren land,deciduous forest,evergreen forest,mixed forest,shrub/scrub,herbaceous,hay/pasture,cultivated crops,woody wetlands,emergent herbaceous wetlands,,,,,,,,,,,,,,,,,
60225,CT,39762.47566,2016,-72.1556168,41.5717812,0.000,0.000,0.000,0.000,0.000,0.000,0.978,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
62639,CT,14674.70134,2018,-72.5579224,41.7635612,0.000,0.000,0.200,0.733,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
63262,CT,21022.70672,2018,-73.337944,42.0087471,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.000,0.000,0.000,0.000,0.000,0.000,0.692,0.000,,,,,,,,,,,,,,,,,
60605,CT,29076.94805,2017,-72.1206055,41.5399818,0.000,0.172,0.000,0.000,0.000,0.000,0.172,0.000,0.000,0.000,0.310,0.034,0.000,0.172,0.138,,,,,,,,,,,,,,,,,
62640,CT,16742.75908,2018,-72.56353,41.7633095,0.000,0.941,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
63239,CT,22802.04439,2019,-71.9029083,41.5830612,0.000,0.000,0.000,0.000,0.000,0.000,0.296,0.000,0.000,0.000,0.000,0.000,0.704,0.000,0.000,,,,,,,,,,,,,,,,,
58634,CA,21703.60151,2011,-118.0625534,34.6963272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.682,0.000,0.318,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58751,CA,50503.53113,2014,-118.2905502,34.712841,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58752,CA,25981.76795,2014,-118.2925415,34.7120132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60086,CA,53177.09752,2016,-118.087883,34.6616211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
61353,CA,1169370.918,2020,-115.6295547,32.668232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.973,0.000,0.000,,,,,,,,,,,,,,,,,
63376,CA,14736.6366,2015,-117.5792694,34.5790253,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.929,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
